[class] name=MPSGraph superclass=MPSGraphObject
[property] class=MPSGraph name=tensorNameDict attrs=T@"NSMutableDictionary",&,V_tensorNameDict
[property] class=MPSGraph name=compilerOptions attrs=TQ,V_compilerOptions
[property] class=MPSGraph name=placeholderTensors attrs=T@"NSArray",R,N
[method] class=MPSGraph kind=instance selector=.cxx_destruct types=v16@0:8
[method] class=MPSGraph kind=instance selector=.cxx_construct types=@16@0:8
[method] class=MPSGraph kind=instance selector=tileTensor:withMultiplier:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=absoluteWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=acosWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=acoshWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=additionWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=argSortWithTensor:axis:descending:name: types=@44@0:8@16q24B32@36
[method] class=MPSGraph kind=instance selector=asinWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=asinhWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=atanWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=atanhWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=bandPartWithTensor:numLower:numUpper:name: types=@48@0:8@16q24q32@40
[method] class=MPSGraph kind=instance selector=castTensor:toType:name: types=@36@0:8@16I24@28
[method] class=MPSGraph kind=instance selector=ceilWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=clampWithTensor:minValueTensor:maxValueTensor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=concatTensors:dimension:name: types=@40@0:8@16q24@32
[method] class=MPSGraph kind=instance selector=convolution2DWithSourceTensor:weightsTensor:descriptor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=cosWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=coshWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=cumulativeProductWithTensor:axis:name: types=@40@0:8@16q24@32
[method] class=MPSGraph kind=instance selector=cumulativeSumWithTensor:axis:name: types=@40@0:8@16q24@32
[method] class=MPSGraph kind=instance selector=depthwiseConvolution3DWithSourceTensor:weightsTensor:descriptor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=divisionWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=equalWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=exponentBase2WithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=exponentWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=floorWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=gatherNDWithUpdatesTensor:indicesTensor:batchDimensions:name: types=@48@0:8@16@24Q32@40
[method] class=MPSGraph kind=instance selector=gatherWithUpdatesTensor:indicesTensor:axis:batchDimensions:name: types=@56@0:8@16@24q32Q40@48
[method] class=MPSGraph kind=instance selector=greaterThanOrEqualToWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=greaterThanWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=lessThanOrEqualToWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=lessThanWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=logarithmWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=logicalANDWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=logicalORWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=logicalXORWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=matrixMultiplicationWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=maximumWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=meanOfTensor:axes:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=minimumWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=moduloWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=multiplicationWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=negativeWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=notEqualWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=notWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=padTensor:withPaddingMode:leftPadding:rightPadding:constantValue:name: types=@64@0:8@16q24@32@40d48@56
[method] class=MPSGraph kind=instance selector=powerWithPrimaryTensor:secondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=randomTensorWithShape:descriptor:seed:name: types=@48@0:8@16@24Q32@40
[method] class=MPSGraph kind=instance selector=reciprocalWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=reductionAndWithTensor:axes:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=reductionArgMaximumWithTensor:axis:name: types=@40@0:8@16q24@32
[method] class=MPSGraph kind=instance selector=reductionArgMinimumWithTensor:axis:name: types=@40@0:8@16q24@32
[method] class=MPSGraph kind=instance selector=reductionMaximumWithTensor:axes:name: types=@40@0:8@16@24@32
