row,stage,pos,layer,e0,e1,e2,e3,e4,e5,w0,w1,w2,w3,w4,w5
0,prefill,0,0,254,222,245,200,53,35,0.046956,1.121946,0.176805,0.041472,0.058724,0.054096
1,prefill,1,0,1,231,44,13,245,150,0.157945,0.181691,0.429408,0.143859,0.125485,0.461613
2,prefill,2,0,123,177,166,66,211,154,0.471540,0.236465,0.297031,0.060748,0.359066,0.075150
3,prefill,3,0,169,14,150,120,156,29,0.585496,0.171792,0.101764,0.122485,0.221075,0.297388
4,prefill,4,0,244,216,29,97,98,148,0.253236,0.304552,0.150826,0.294638,0.123326,0.373421
5,prefill,5,0,37,224,124,233,18,70,0.225629,0.205212,0.324879,0.165335,0.374171,0.204774
6,prefill,6,0,248,175,15,47,109,12,0.326074,0.101789,0.176049,0.348205,0.261195,0.286689
7,prefill,7,0,212,61,77,1,133,107,0.345682,0.280958,0.101541,0.159102,0.285585,0.327132
8,prefill,8,0,143,245,171,73,50,229,0.474134,0.218461,0.234606,0.224848,0.138609,0.209342
9,prefill,9,0,107,85,126,215,44,129,0.352735,0.255154,0.174173,0.265611,0.357944,0.094382
10,prefill,0,1,163,137,158,97,184,8,0.030406,0.031352,0.043514,0.032799,0.035420,1.326510
11,prefill,1,1,141,56,41,166,45,85,0.274120,0.259012,0.184211,0.260292,0.238658,0.283707
12,prefill,2,1,120,229,170,107,231,69,0.270561,0.171800,0.344756,0.222733,0.288632,0.201518
13,prefill,3,1,44,117,169,37,195,48,0.234463,0.388427,0.197171,0.128020,0.280079,0.271840
14,prefill,4,1,225,87,55,34,75,79,0.275817,0.291603,0.337102,0.233911,0.210024,0.151542
15,prefill,5,1,169,69,6,26,95,176,0.261933,0.247031,0.257226,0.212431,0.313041,0.208338
16,prefill,6,1,93,142,240,126,184,170,0.204883,0.276142,0.253922,0.234569,0.263838,0.266645
17,prefill,7,1,175,149,30,55,4,7,0.307345,0.224792,0.244307,0.256818,0.196610,0.270128
18,prefill,8,1,10,140,93,42,8,79,0.291539,0.284741,0.279509,0.234552,0.220188,0.189471
19,prefill,9,1,3,18,155,214,227,31,0.263410,0.288276,0.186282,0.280506,0.237645,0.243882
20,prefill,0,2,108,115,43,53,132,143,0.111771,0.127864,0.104539,0.333227,0.123471,0.699128
21,prefill,1,2,63,128,180,252,253,50,0.152763,0.149180,0.301626,0.315082,0.332987,0.248362
22,prefill,2,2,129,227,128,152,52,86,0.376367,0.207039,0.138134,0.343317,0.174324,0.260819
23,prefill,3,2,40,59,24,210,115,26,0.269252,0.135521,0.294836,0.349477,0.243471,0.207443
24,prefill,4,2,89,73,41,231,3,217,0.254535,0.247430,0.283758,0.241033,0.251180,0.222064
25,prefill,5,2,76,193,136,84,150,96,0.277443,0.224547,0.258484,0.216578,0.260706,0.262242
26,prefill,6,2,229,130,128,82,4,31,0.251348,0.232577,0.169190,0.266745,0.276199,0.303941
27,prefill,7,2,53,129,208,70,95,41,0.212678,0.279826,0.255714,0.291452,0.170910,0.289421
28,prefill,8,2,135,246,213,241,115,247,0.193611,0.237960,0.204851,0.329407,0.245765,0.288405
29,prefill,9,2,225,217,204,105,14,77,0.301168,0.254469,0.329523,0.136974,0.273018,0.204847
30,prefill,0,3,124,143,175,213,187,79,0.286709,0.263948,0.257313,0.238758,0.229565,0.223707
31,prefill,1,3,234,112,11,202,133,63,0.525773,0.338771,0.274316,0.125919,0.119214,0.116007
32,prefill,2,3,4,112,174,252,251,68,0.529996,0.371271,0.238087,0.120968,0.111239,0.128439
33,prefill,3,3,116,232,174,112,11,148,0.399566,0.319394,0.311519,0.195548,0.146281,0.127693
34,prefill,4,3,14,174,83,112,232,119,0.434507,0.300217,0.268141,0.188188,0.175086,0.133861
35,prefill,5,3,172,197,83,174,112,90,0.316897,0.293469,0.282724,0.230344,0.203178,0.173388
36,prefill,6,3,235,190,124,112,119,96,0.641313,0.188335,0.171569,0.174558,0.169772,0.154452
37,prefill,7,3,174,112,124,155,122,119,0.369296,0.271188,0.260614,0.206681,0.198804,0.193417
38,prefill,8,3,235,174,119,129,97,112,0.522412,0.242331,0.206955,0.208097,0.169689,0.150517
39,prefill,9,3,177,133,119,99,122,174,0.287456,0.280196,0.280032,0.274893,0.189922,0.187502
40,prefill,0,4,64,98,110,170,224,93,1.265845,0.061774,0.048115,0.041918,0.039160,0.043188
41,prefill,1,4,98,201,8,206,170,146,0.480499,0.369354,0.176520,0.161502,0.157254,0.154871
42,prefill,2,4,98,250,37,134,55,201,0.638533,0.499390,0.104242,0.086245,0.083422,0.088169
43,prefill,3,4,98,198,250,180,21,75,0.705202,0.282974,0.287618,0.074891,0.076030,0.073286
44,prefill,4,4,127,98,4,28,251,204,0.767764,0.189500,0.171223,0.119276,0.134458,0.117779
45,prefill,5,4,228,197,100,159,114,98,0.326151,0.236990,0.234487,0.276215,0.225442,0.200715
46,prefill,6,4,97,161,228,8,113,28,0.406604,0.265349,0.244145,0.223653,0.184782,0.175467
47,prefill,7,4,8,122,228,161,28,70,0.347041,0.322450,0.235846,0.209648,0.189227,0.195788
48,prefill,8,4,242,8,70,161,122,28,0.306719,0.270167,0.248193,0.230080,0.257724,0.187117
49,prefill,9,4,183,28,228,186,8,113,0.310286,0.305509,0.298685,0.201943,0.198476,0.185103
50,prefill,0,5,35,59,235,92,104,72,1.378372,0.049829,0.009107,0.018745,0.017912,0.026035
51,prefill,1,5,59,35,252,244,63,243,0.679758,0.242726,0.191937,0.164956,0.117406,0.103217
52,prefill,2,5,59,252,216,140,52,221,0.571917,0.358361,0.228262,0.146533,0.098652,0.096275
53,prefill,3,5,180,252,216,59,30,38,0.648394,0.234471,0.229781,0.199534,0.107744,0.080076
54,prefill,4,5,217,169,94,180,117,90,0.464086,0.278772,0.228000,0.176917,0.172252,0.179973
55,prefill,5,5,169,78,10,119,63,215,0.329269,0.335888,0.242840,0.210029,0.209090,0.172884
56,prefill,6,5,249,129,10,169,28,72,0.724422,0.189339,0.159048,0.158702,0.133991,0.134497
57,prefill,7,5,169,10,15,28,64,252,0.591374,0.244431,0.179497,0.171934,0.155187,0.157577
58,prefill,8,5,169,249,10,80,129,28,0.459866,0.360931,0.242043,0.150808,0.145172,0.141179
59,prefill,9,5,169,2,63,12,15,28,0.701415,0.321255,0.144216,0.132614,0.100019,0.100481
