  L    E  ar=  weight_rl2   out_rl2     cos
--------------------------------------------------
  0    0   16      0.2237    0.3082  0.9524
  0    0   32      0.2234    0.2680  0.9752
  0    0   64      0.2049    0.2682  0.9685
  0    0  128      0.2027    0.2370  0.9808
  0  100   16      0.1964    0.2450  0.9747
  0  100   32      0.1848    0.2048  0.9869
  0  100   64      0.1867    0.1966  0.9811
  0  100  128      0.2015    0.1894  0.9840
  0  255   16      0.2211    0.2119  0.9780
  0  255   32      0.2096    0.2121  0.9812
  0  255   64      0.2012    0.2628  0.9764
  0  255  128      0.2014    0.1998  0.9820
 22    0   16      0.1899    0.1811  0.9835
 22    0   32      0.1859    0.2238  0.9793
 22    0   64      0.2283    0.3199  0.9547
 22    0  128      0.2085    0.1471  0.9891
 22  100   16      0.1726    0.1397  0.9904
 22  100   32      0.2050    0.1255  0.9921
 22  100   64      0.2090    0.0854  0.9964
 22  100  128      0.2016    0.1313  0.9914
 22  255   16      0.1886    0.2201  0.9755
 22  255   32      0.1857    0.1656  0.9873
 22  255   64      0.2048    0.2408  0.9708
 22  255  128      0.2192    0.2019  0.9797
 42    0   16      0.2177    0.2793  0.9773
 42    0   32      0.2102    0.1699  0.9856
 42    0   64      0.1984    0.7465  0.8226
 42    0  128      0.2092    0.4599  0.9150
 42  100   16      0.1846    0.2855  0.9584
 42  100   32      0.1901    0.2053  0.9849
 42  100   64      0.1891    0.1888  0.9888
 42  100  128      0.2006    0.3228  0.9466
 42  255   16      0.1803    0.2833  0.9619
 42  255   32      0.1929    0.2321  0.9739
 42  255   64      0.2108    0.2047  0.9796
 42  255  128      0.2228    0.2062  0.9807
